,id,prediction,label,correct_prediction
0,624521904423104512,1,1,True
1,624493172689895424,-1,-1,True
2,624494812255748096,-1,-1,True
3,624517280358010880,1,1,True
4,624493188921753600,-1,-1,True
5,624492355303804928,-1,-1,True
6,624528960190201856,-1,1,False
7,624525577589010432,1,1,True
8,624526671341875200,1,1,True
9,624492800818593792,1,-1,False
10,624494216664645632,-1,-1,True
11,624493934056706048,-1,-1,True
12,624493584348258304,-1,-1,True
13,624494734560505856,-1,-1,True
14,624521495478444032,1,1,True
15,624493648860835840,-1,-1,True
16,624523746741776384,1,1,True
17,624493537120399360,-1,-1,True
18,624493979644489728,-1,-1,True
19,624525131164057600,1,1,True
20,624492429899616256,-1,-1,True
21,624529885462040576,1,1,True
22,624493145007464448,-1,-1,True
23,624520600564830208,-1,1,False
24,624492736469569536,1,-1,False
25,624517837261000704,1,1,True
26,624522685968617472,1,1,True
27,624492221644058624,-1,-1,True
28,624521840518688768,-1,1,False
29,624494783478652929,-1,-1,True
30,624518716794011648,1,1,True
31,624518095730651136,1,1,True
32,624493046512664576,1,-1,False
33,624528829034270720,1,1,True
34,624518423461142528,1,1,True
35,624494338387505154,-1,-1,True
36,624492754618298373,1,-1,False
37,624522364944908288,1,1,True
38,624492554696982528,1,-1,False
39,624492571713114112,-1,-1,True
40,624493908190326784,1,-1,False
41,624527680852074496,-1,1,False
42,624493654690918401,-1,-1,True
43,624492208423505920,-1,-1,True
44,624493189613899776,-1,-1,True
45,624493856818597888,-1,-1,True
46,624523033479389184,1,1,True
47,624493226859364353,-1,-1,True
48,624520970917793792,1,1,True
49,624492791763202048,-1,-1,True
50,624523802668437504,1,1,True
51,624517497169903616,1,1,True
52,624494797416435712,-1,-1,True
53,624528559025991680,1,1,True
54,624492207127572480,-1,-1,True
55,624526492219748352,1,1,True
56,624517412746952704,1,1,True
57,624492767058657280,1,-1,False
58,624527529852948480,1,1,True
59,624525823614287872,-1,1,False
60,624492989797117953,-1,-1,True
61,624494961589886976,1,-1,False
62,624527332750041088,-1,1,False
63,624493452294770688,-1,-1,True
64,624492160554037248,-1,-1,True
65,624494215830077441,-1,-1,True
66,624493818864254976,-1,-1,True
67,624522903137198080,-1,1,False
68,624523137577828352,-1,1,False
69,624529313031852032,-1,1,False
70,624492181781409792,-1,-1,True
71,624492475957145601,-1,-1,True
72,624494696966942720,-1,-1,True
73,624527420482289664,1,1,True
74,624529054578835457,-1,1,False
75,624516873644851200,1,1,True
76,624492242024071168,-1,-1,True
77,624528124697550848,1,1,True
78,624492961997295616,1,-1,False
79,624522697343504384,1,1,True
80,624493110945542144,-1,-1,True
81,624493326331420672,-1,-1,True
82,624494763291594752,-1,-1,True
83,624525496387108864,-1,1,False
84,624523401546350592,1,1,True
85,624527070509404160,-1,1,False
86,624528332932161536,1,1,True
87,624519152968015872,1,1,True
88,624493567277465600,-1,-1,True
89,624523586510786561,-1,1,False
90,624527088964337664,-1,1,False
91,624493182135353348,-1,-1,True
92,624527135210778624,1,1,True
93,624516881765007360,1,1,True
94,624527598626803712,1,1,True
95,624524793136742400,1,1,True
96,624523294289473537,1,1,True
97,624528479552319488,1,1,True
98,624518014709268480,1,1,True
99,624492028878061569,-1,-1,True
100,624492174302969856,-1,-1,True
101,624492790043537408,-1,-1,True
102,624526037670563840,-1,1,False
103,624524377694932992,1,1,True
104,624517307927126016,-1,1,False
105,624492823635722240,1,-1,False
106,624530111006658560,1,1,True
107,624493297374003201,-1,-1,True
108,624493341686788096,1,-1,False
109,624494382369087488,-1,-1,True
110,624494221203009536,-1,-1,True
111,624494161480257536,-1,-1,True
112,624525070002733056,-1,1,False
113,624493106466029568,-1,-1,True
114,624527952739479553,1,1,True
115,624494096724267008,-1,-1,True
116,624523016878231553,-1,1,False
117,624529835285721088,1,1,True
118,624519175273222144,1,1,True
119,624493784924094464,-1,-1,True
120,624520060644757504,1,1,True
121,624520131713069056,1,1,True
122,624493399882760192,-1,-1,True
123,624527418242392064,1,1,True
124,624519641444954112,1,1,True
125,624529731371692033,-1,1,False
126,624492915788775424,-1,-1,True
127,624518335141560320,1,1,True
128,624494241075605504,-1,-1,True
129,624527696022913024,1,1,True
130,624494186251685888,-1,-1,True
131,624492460463529984,-1,-1,True
132,624492893265395712,-1,-1,True
133,624494100335693824,-1,-1,True
134,624522574609780736,-1,1,False
135,624494962126815232,-1,-1,True
136,624528517380882432,1,1,True
137,624494578125643776,-1,-1,True
138,624522323530379264,-1,1,False
139,624493110286942209,1,-1,False
140,624494356381040640,1,-1,False
141,624493020155523072,-1,-1,True
142,624526112362659840,1,1,True
143,624523183790649344,-1,1,False
144,624493235977781248,1,-1,False
145,624523772436062208,1,1,True
146,624495088006209536,1,-1,False
147,624493388864319488,-1,-1,True
148,624494868329578496,-1,-1,True
149,624526034143043584,1,1,True
150,624493607437881344,-1,-1,True
151,624523582085791744,1,1,True
152,624519536054644736,-1,1,False
153,624493304567230464,-1,-1,True
154,624520508072030209,-1,1,False
155,624520122154242048,1,1,True
156,624495115298435072,-1,-1,True
157,624524245209612288,1,1,True
158,624492897900056576,1,-1,False
159,624494169386409984,-1,-1,True
160,624493059263168512,-1,-1,True
161,624493311655546880,-1,-1,True
162,624519342315581440,1,1,True
163,624520040700878848,1,1,True
164,624495051654213632,-1,-1,True
165,624493386372771840,-1,-1,True
166,624493268735148032,-1,-1,True
167,624530031172153346,1,1,True
168,624516832733474816,1,1,True
169,624522250197299201,-1,1,False
